CountryName,Country Code,IndicatorName,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Urban population growth (annual %),SP.URB.GROW,3.10680241,2.206183184,1.386974996,0.802880705,0.554747973,0.55168749,0.579433504,0.552299236,0.545884347,0.549646475,0.549986295,0.600181856,0.656065971,0.622254959,0.442109086,0.186083008,-0.140346319,-0.39926745,-0.460148717,-0.244079546,0.168280772,0.748870346,1.245483801,1.360958255,0.973977021,0.280593529,-0.641159438,-1.33009951,-1.263446809,-0.104112451,1.780922021,3.87630844,4.828026957,5.236260171,4.803486211,3.782378769,2.662525199,1.81782882,1.261295464,1.09550075,1.187344352,1.403663153,1.441495491,1.305810447,0.958215078,0.486825437,-0.020051465,-0.435438638,-0.705177195,-0.757862168,-0.658444218,-0.508755337,-0.338308551,-0.210004116,-0.161842262,
Aruba,ABW,Urban population,SP.URB.TOTL,27525,28139,28532,28762,28922,29082,29251,29413,29574,29737,29901,30081,30279,30468,30603,30660,30617,30495,30355,30281,30332,30560,30943,31367,31674,31763,31560,31143,30752,30720,31272,32508,34116,35950,37719,39173,40230,40968,41488,41945,42446,43046,43671,44245,44671,44889,44880,44685,44371,44036,43747,43525,43378,43287,43217,
Aruba,ABW,Urban population (% of total),SP.URB.TOTL.IN.ZS,50.776,50.761,50.746,50.73,50.715,50.7,50.685,50.67,50.654,50.639,50.624,50.609,50.593,50.578,50.563,50.548,50.532,50.517,50.502,50.487,50.472,50.456,50.441,50.426,50.411,50.395,50.38,50.365,50.35,50.335,50.319,50.304,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.698,42.364,42.058,41.779,
Andorra,AND,Population density (people per sq. km of land area),EN.POP.DNST,,30.58723404,32.71489362,34.91489362,37.17021277,39.47021277,41.8,44.15957447,46.57021277,49.06595745,51.65744681,54.38297872,57.21702128,60.06595745,62.79574468,65.33191489,67.61914894,69.7212766,71.8,74.08297872,76.72978723,79.79148936,83.21702128,86.94042553,90.85957447,94.88723404,98.96808511,103.1021277,107.3,111.593617,115.9808511,120.5829787,125.3276596,129.793617,133.4191489,135.8595745,136.7893617,136.4829787,135.9319149,136.512766,139.1468085,144.1914894,151.1617021,159.112766,166.6744681,172.8148936,177.3893617,180.5914894,182.1617021,181.8595745,179.6148936,175.1617021,168.7574468,161.493617,154.8638298,
Andorra,AND,Population in largest city,EN.URB.LCTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,1.32,,1.48,,1.35,
Andorra,AND,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,1.49,,1.67,,1.51,
Andorra,AND,"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,AND,"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Andorra,AND,Urban poverty gap at national poverty lines (%),SI.POV.URGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Urban population growth (annual %),SP.URB.GROW,10.49354359,11.17558382,10.70927888,10.23841703,9.73264789,9.236838319,8.743216387,8.272510405,7.890996841,7.584913534,7.332959749,7.148022644,6.921291138,6.54420903,5.984708951,5.370855497,4.727470513,4.227773245,4.003812311,4.098592088,4.390017888,4.709486044,4.927989019,5.032592291,5.001930194,4.874421584,4.384301691,3.938117354,3.832717846,3.759579558,3.687280921,3.699971479,3.641764052,3.275440631,2.519761473,1.567245304,0.430467003,-0.487333652,-0.676511926,0.144751927,1.61832027,3.193796464,4.269117909,4.651512856,4.142761402,3.113134975,2.106107893,1.259046423,0.30802873,-0.746695465,-1.849677196,-3.146068251,-4.360235791,-5.027367719,-4.811074181,
Andorra,AND,Urban population,SP.URB.TOTL,7840,8767,9758,10810,11915,13068,14262,15492,16764,18085,19461,20903,22401,23916,25391,26792,28089,29302,30499,31775,33201,34802,36560,38447,40419,42438,44340,46121,47923,49759,51628,53574,55561,57411,58876,59806,60064,59772,59369,59455,60425,62386,65107,68207,71092,73340,74901,75850,76084,75518,74134,71838,68773,65401,62329,
Andorra,AND,Urban population (% of total),SP.URB.TOTL.IN.ZS,58.45,60.983,63.462,65.872,68.205,70.445,72.593,74.641,76.588,78.424,80.155,81.78,83.301,84.716,86.032,87.252,88.382,89.42,90.378,91.257,92.064,92.8,93.474,94.089,94.649,95.159,95.325,95.178,95.027,94.872,94.712,94.53,94.324,94.111,93.89,93.661,93.425,93.18,92.927,92.666,92.395,92.056,91.641,91.207,90.751,90.295,89.838,89.363,88.867,88.352,87.817,87.26,86.708,86.165,85.633,
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,,14.03814754,14.31206078,14.59969212,14.90157921,15.21820605,15.54520265,15.88181233,16.23593113,16.61843274,17.03442851,17.48126857,17.94702693,18.41514873,18.864003,19.27358699,19.65407744,19.99892626,20.25326563,20.34629017,20.23620991,19.9076724,19.40232362,18.80815948,18.24665319,17.81468921,17.5212894,17.36655945,17.42451368,17.78076617,18.48416199,19.58976503,21.05448335,22.70681463,24.30837699,25.6908403,26.77725699,27.62327298,28.35444046,29.16156603,30.17789419,31.44802867,32.9122308,34.47502987,35.99523634,37.37393622,38.57429617,39.63720246,40.63465521,41.67400515,42.83032656,44.1276338,45.53319701,46.99705909,48.44454554,
Afghanistan,AFG,Population in largest city,EN.URB.LCTY,285352,300359,316177,332829,350382,368809,388232,408087,428363,449585,471891,495303,528508,573161,621656,674254,731385,793178,860289,932388,977824,1025339,1075233,1127555,1182500,1239961,1300299,1358525,1419444,1482916,1549320,1618697,1691283,1766910,1846031,1928694,2015181,2105292,2199565,2298059,2401109,2508477,2620804,2738161,2860946,2989237,3123281,3263335,3409670,3562567,3722320,3889237,4063639,4245861,4436255,4634875
Afghanistan,AFG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,38.58913643,38.51971263,38.43074002,38.33000317,38.20867984,38.0726894,37.93139497,37.73534484,37.46747334,37.15771978,36.80463534,36.41757091,36.62429585,37.46187054,38.38870871,39.44982953,40.62997191,41.93391999,43.49663191,45.47626317,47.19952193,49.52347603,52.45617322,55.86615568,59.4545865,62.86878264,66.00067001,68.50449645,70.24592736,70.82029157,70.09558901,68.05708784,65.16338207,62.17503357,59.76893188,58.20281391,57.47847603,57.34884071,57.51012444,57.56146056,57.26515377,56.57484175,55.65647807,54.70891593,53.95938466,53.50948953,53.37192923,53.46455024,53.67385053,53.85662902,53.91862117,53.84062071,53.67500385,53.48866887,53.36950205,53.36029242
Afghanistan,AFG,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,285352,300359,316177,332829,350382,368809,388232,408087,428363,449585,471891,495303,528508,573161,621656,674254,731385,793178,860289,932388,977824,1025339,1075233,1127555,1182500,1239961,1300299,1358525,1419444,1482916,1549320,1618697,1691283,1766910,1846031,1928694,2015181,2105292,2199565,2298059,2401109,2508477,2620804,2738161,2860946,2989237,3123281,3263335,3409670,3562567,3722320,3889237,4063639,4245861,4436255,4634875
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,3.172413195,3.277259165,3.383826146,3.491864654,3.601549856,3.712085664,3.825382623,3.93579654,4.04124044,4.143827694,4.243205504,4.339882313,4.510648554,4.767397235,5.047731109,5.358471469,5.699979916,6.074966957,6.506227582,7.019260832,7.401358765,7.889090364,8.488457528,9.182720714,9.926539411,10.66128897,11.36729432,11.98212337,12.47778612,12.77456204,12.83870738,12.65657725,12.30415048,11.91895427,11.63222961,11.49912935,11.5273084,11.6739316,11.88216717,12.07063927,12.1871704,12.21790196,12.19711623,12.16562061,12.17431601,12.25099742,12.40203601,12.61068284,12.8527396,13.09416288,13.31196783,13.49999811,13.66994964,13.83805427,14.02657231,14.24931595
Afghanistan,AFG,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,0.58,,0.65,,0.96,,1,,1.21,,1.19,
Afghanistan,AFG,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,0.53,,0.68,,1.05,,1.15,,1.28,,1.07,
Afghanistan,AFG,"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,43,43,43,44.8,46.7,48.5,50.4,52.2,54.1,55.9,57.8,59.6,61.5,63.3,65.2,67,68.9,70.7,72.6,74.5,76.3,78.2,78.2
Afghanistan,AFG,"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,26.2,26.2,26.2,26.2,27.2,28.2,29.2,30.2,31.2,32.2,33.2,34.2,35.1,36.1,37.1,38.1,39.1,40.1,41.1,42.1,43.1,44.1,45.1,45.1
Afghanistan,AFG,Urban poverty gap at national poverty lines (%),SI.POV.URGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,5.6,,,,
Afghanistan,AFG,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,27.6,,,,
Afghanistan,AFG,Urban population growth (annual %),SP.URB.GROW,5.253807423,5.305559057,5.363622327,5.395135995,5.45653947,5.482040625,5.504228299,5.505923633,5.56145851,5.665559722,5.797084414,5.899409171,5.922778017,5.849692328,5.678048833,5.395365553,5.185680989,4.951863649,4.463225682,3.597366425,1.038739496,-0.061418242,-1.001711213,-1.546653828,-1.467474655,-0.838788391,-0.110084401,0.657082315,1.87627451,3.560194322,5.409140133,7.331836738,8.73151014,9.068900264,8.32732082,7.035745048,5.638908254,4.600307599,4.099705822,4.291299325,4.902681459,5.587298986,6.01712608,6.097717158,5.76608776,5.22384466,4.643995554,4.213174285,3.995872755,4.046627059,4.271538044,4.531354508,4.69466817,4.734332923,4.609630067,
Afghanistan,AFG,Urban population,SP.URB.TOTL,739462,779754,822719,868325,917022,968697,1023511,1081445,1143293,1209937,1282151,1360066,1443053,1529985,1619372,1709143,1800112,1891495,1977829,2050274,2071682,2070410,2049774,2018315,1988913,1972300,1970130,1983118,2020678,2093914,2210296,2378440,2595450,2841832,3088613,3313747,3505975,3671028,3824657,3992357,4192967,4433909,4708893,5004963,5302036,5586368,5851917,6103736,6352572,6614909,6903589,7223611,7570822,7937870,8312341,
Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,8.221,8.508,8.805,9.11,9.426,9.75,10.085,10.43,10.786,11.152,11.529,11.917,12.316,12.726,13.149,13.583,14.029,14.487,14.958,15.435,15.681,15.93,16.182,16.437,16.696,16.958,17.223,17.491,17.763,18.038,18.316,18.597,18.882,19.17,19.462,19.757,20.055,20.356,20.661,20.97,21.282,21.596,21.915,22.237,22.562,22.895,23.237,23.587,23.946,24.313,24.689,25.074,25.468,25.871,26.282,
Angola,AGO,Population density (people per sq. km of land area),EN.POP.DNST,,4.305195316,4.384298548,4.464432502,4.544558434,4.624227962,4.703271036,4.782891634,4.865720703,4.955244245,5.054118072,5.163748296,5.284067538,5.414466191,5.553660865,5.700917623,5.855063768,6.016940724,6.19005294,6.379146547,6.586949547,6.816355178,7.064659501,7.322254753,7.575934868,7.816803561,8.040186091,8.250350525,8.458252988,8.679708029,8.925860271,9.202031764,9.504268068,9.823362477,10.14557071,10.46175182,10.76827866,11.0707211,11.38021176,11.71250742,12.07879843,12.48318842,12.92187054,13.38846154,13.87302479,14.36828587,14.87243683,15.38774926,15.91581856,16.45953557,17.02089837,17.6003016,18.19654448,18.80821529,19.43332317,
Angola,AGO,Population in largest city,EN.URB.LCTY,219427,233134,251373,271039,292274,315108,339760,366341,395043,425905,459225,488590,514050,540761,568901,598504,629692,662412,696882,733145,771349,811430,853654,898104,956033,1017524,1083062,1152823,1227182,1306113,1390240,1479785,1575234,1676551,1784538,1899480,2022000,2151205,2288862,2435328,2591388,2756977,2933398,3121108,3321113,3533331,3759432,4000000,4162994,4332153,4508434,4691888,4882807,5081495,5288267,5506000
Angola,AGO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,39.89487521,40.22603354,41.04719138,41.8935963,42.78203083,43.71284814,44.69279622,45.70897757,46.7435702,47.75720919,48.72744674,49.17440463,49.15427491,49.07510176,48.95241668,48.80288983,48.63560601,48.44526713,48.21311453,47.90876786,47.52102978,47.03944756,46.50164783,45.97762818,46.08329606,46.32124654,46.71832276,47.24132632,47.82476363,48.37358808,48.83634989,49.19305027,49.47257507,49.72656412,50.03089542,50.42793177,50.93562085,51.49442891,52.08300196,52.62547378,53.08198105,53.43624888,53.7214894,53.97287857,54.23578323,54.53570125,54.88551211,55.27493546,54.4819483,53.72083636,52.9870078,52.28080454,51.6170311,51.00294174,50.44025692,49.95463618
Angola,AGO,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,256496,272798,292948,314616,337952,362983,389940,418938,450176,483690,519792,553738,585679,619495,655457,693659,734313,777412,823306,872129,924160,979399,1038310,1101104,1173300,1250016,1331871,1419093,1512165,1611067,1716595,1829044,1949038,2076551,2206094,2343753,2490249,2644652,2808901,2983391,3169028,3365702,3574927,3797208,4033699,4284264,4550833,4834049,5042053,5258517,5484719,5720785,5967151,6224275,6492631,6775211
Angola,AGO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,4.866317425,5.082605048,5.35955162,5.652656362,5.964875308,6.296295333,6.650217069,7.025823808,7.421184044,7.829609161,8.249397831,8.601561596,8.890564415,9.177411386,9.466793207,9.759763647,10.05976019,10.36366933,10.66853921,10.96620068,11.25384348,11.52512076,11.78891517,12.06206172,12.42255359,12.8269799,13.28721929,13.79674057,14.34024435,14.8883485,15.42608783,15.94330908,16.44900642,16.95588541,17.44156987,17.96989205,18.54959916,19.16155118,19.7981281,20.4314099,21.04458584,21.62659641,22.19115122,22.74949457,23.32224567,23.91714326,24.54408273,25.19845931,25.41069055,25.62617254,25.84698817,26.07195254,26.30365775,26.54478582,26.79857422,27.07701623
Angola,AGO,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.15,,0.13,,0.29,,0.36,,0.39,,0.43,,0.42,,0.51,
Angola,AGO,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,0.3,,0.19,,0.39,,0.5,,0.53,,0.65,,0.63,,0.76,
Angola,AGO,"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,52.1,52.1,52.1,53.3,54.5,55.6,56.8,57.9,59.1,60.3,61.4,62.6,63.8,64.9,66.1,67.2,68.4,69.6,70.7,71.9,73,74.2,75.4,75.4,75.4
Angola,AGO,"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,64.6,64.6,64.6,65.8,67,68.2,69.4,70.6,71.8,73,74.2,75.4,76.6,77.8,79,80.2,81.4,82.6,83.8,85,86.2,87.4,88.6,88.6,88.6
Angola,AGO,Urban poverty gap at national poverty lines (%),SI.POV.URGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,
Angola,AGO,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,,,,,
Angola,AGO,Urban population growth (annual %),SP.URB.GROW,4.967043979,5.232728064,5.511646883,5.491426179,5.444380493,5.369982594,5.315378531,5.284271351,5.304803992,5.376837417,5.521154316,5.28526084,5.120628253,5.226887567,5.323209823,5.378598808,5.42312349,5.457815665,5.553195878,5.705993704,5.892361785,6.084297911,6.222664658,6.209272996,6.021094815,5.718487137,5.388429594,5.1288873,5.02322613,5.092467575,5.289989688,5.514296435,5.684090766,5.721407158,5.631940796,5.451610597,5.248968032,5.10299034,5.066158825,5.16650416,5.347495402,5.528934716,5.670292559,5.735801369,5.725267469,5.642642605,5.563296851,5.495633758,5.439030198,5.389860255,5.363941064,5.330266512,5.266279893,5.185361605,5.097879089,
Angola,AGO,Urban population,SP.URB.TOTL,550013,579560,612400,646970,683170,720859,760212,801464,845128,891813,942436,993586,1045789,1101905,1162151,1226370,1294714,1367341,1445420,1530294,1623174,1724999,1835750,1953350,2074576,2196668,2318281,2440285,2565997,2700054,2846732,3008118,3184055,3371540,3566872,3766722,3969717,4177549,4394643,4627660,4881860,5159376,5460381,5782734,6123472,6478932,6849589,7236553,7641052,8064195,8508565,8974399,9459682,9963141,10484219,
Angola,AGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,10.435,10.798,11.204,11.624,12.058,12.504,12.965,13.441,13.932,14.436,14.957,15.434,15.875,16.324,16.785,17.255,17.737,18.228,18.73,19.242,19.766,20.299,20.843,21.398,21.965,22.541,23.128,23.725,24.334,24.952,25.582,26.221,26.872,27.53,28.2,28.88,29.57,30.268,30.975,31.692,32.419,33.152,33.895,34.645,35.405,36.169,36.942,37.722,38.509,39.299,40.097,40.9,41.699,42.49,43.274,
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,,60.57664234,62.45689781,64.32923358,66.20930657,68.05806569,69.87492701,71.73715328,73.80554745,75.97427007,77.93718978,79.84864964,81.86591241,83.82306569,85.77094891,87.76755474,89.72722628,91.73525547,93.65934307,95.54131387,97.51813869,99.49109489,101.6159854,103.7941606,106.0010584,108.2029927,110.315146,112.5403285,114.6837956,117.8081387,119.9467883,119.2259124,118.505073,117.7841971,117.0633577,116.3424818,115.6216423,114.9007664,114.179927,113.4590511,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0138686,105.8572628,105.7432847,105.6377737,
Albania,ALB,Population in largest city,EN.URB.LCTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Population in urban agglomerations of more than 1 million,EN.URB.MCTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,0.3,,0.51,,1.02,,1.29,,1.31,,1.4,,1.79,,1.71,
Albania,ALB,Pump price for gasoline (US$ per liter),EP.PMP.SGAS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,0.57,,0.8,,1.23,,1.44,,1.36,,1.46,,1.81,,1.76,
Albania,ALB,"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,99.9,99.5,99.1,98.8,98.4,98,97.6,97.2,96.9,96.5,96.1,95.7,95.3,94.9,94.9
Albania,ALB,"Improved sanitation facilities, urban (% of urban population with access)",SH.STA.ACSN.UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5,94.5,94.5,94.5,94.5,94.5,94.6,94.6,94.7,94.7,94.8,94.8,94.9,94.9,95,95,95.1,95.1,95.2,95.2,95.3,95.3,95.4,95.4,95.5,95.5
Albania,ALB,Urban poverty gap at national poverty lines (%),SI.POV.URGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,2.3,,,1.9,,,,2.9,,,
Albania,ALB,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,,11.2,,,10.1,,,,13.6,,,
Albania,ALB,Urban population growth (annual %),SP.URB.GROW,5.39154054,3.893009665,3.289207022,3.182264531,3.112068144,2.984828013,2.864945444,2.859929437,3.071745751,3.219848385,3.157619134,3.029187299,3.100658737,2.964573466,2.89871135,2.902126121,2.805688761,2.810024998,2.669114362,2.582275994,2.82702035,2.775926165,2.883273307,2.890837193,2.867971958,2.817046493,2.691391059,2.755141155,2.639152558,3.437377879,2.543042545,0.141060582,0.87843043,0.85553496,0.84372567,0.82417126,0.812476342,0.788237295,0.774515179,0.755983737,0.742478629,0.710442618,2.181208904,2.060274182,1.971798937,1.826429357,1.662227897,1.49221507,1.435124211,1.473287913,1.609373264,1.773496394,1.865712376,1.811849278,1.735761712,
Albania,ALB,Urban population,SP.URB.TOTL,493982,513592,530766,547928,565248,582374,599300,616687,635924,656733,677801,698647,720649,742333,764166,786668,809052,832109,854618,876974,902120,927513,954645,982645,1011235,1040127,1068501,1098349,1127722,1167160,1197222,1198912,1209490,1219882,1230218,1240399,1250518,1260414,1270214,1279853,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546708,1575836,1604648,1632744,
Albania,ALB,Urban population (% of total),SP.URB.TOTL.IN.ZS,30.705,30.943,31.015,31.086,31.158,31.23,31.302,31.374,31.446,31.548,31.74,31.933,32.127,32.321,32.516,32.712,32.908,33.105,33.302,33.5,33.762,34.024,34.287,34.552,34.817,35.083,35.35,35.619,35.888,36.158,36.428,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.383,56.409,
